2018-01-14 05:03:56.340 [restartedMain] INFO  [org.springframework.boot.actuate.endpoint.jmx.EndpointMBeanExporter:678] restartedMaincid - Located managed bean 'dumpEndpoint': registering with JMX server as MBean [org.springframework.boot:type=Endpoint,name=dumpEndpoint]
2018-01-14 05:03:56.340 [restartedMain] INFO  [org.springframework.boot.actuate.endpoint.jmx.EndpointMBeanExporter:678] restartedMaincid - Located managed bean 'autoConfigurationReportEndpoint': registering with JMX server as MBean [org.springframework.boot:type=Endpoint,name=autoConfigurationReportEndpoint]
2018-01-14 05:03:56.340 [restartedMain] INFO  [org.springframework.boot.actuate.endpoint.jmx.EndpointMBeanExporter:678] restartedMaincid - Located managed bean 'configurationPropertiesReportEndpoint': registering with JMX server as MBean [org.springframework.boot:type=Endpoint,name=configurationPropertiesReportEndpoint]
2018-01-14 05:03:56.340 [restartedMain] INFO  [org.apache.coyote.http11.Http11NioProtocol:179] restartedMaincid - Initializing ProtocolHandler ["http-nio-8091"]
2018-01-14 05:03:56.340 [restartedMain] INFO  [org.apache.coyote.http11.Http11NioProtocol:179] restartedMaincid - Starting ProtocolHandler ["http-nio-8091"]
2018-01-14 05:03:56.340 [restartedMain] INFO  [org.apache.tomcat.util.net.NioSelectorPool:179] restartedMaincid - Using a shared selector for servlet write/read
2018-01-14 05:03:56.350 [restartedMain] INFO  [org.springframework.boot.context.embedded.tomcat.TomcatEmbeddedServletContainer:201] restartedMaincid - Tomcat started on port(s): 8091 (http)
2018-01-14 05:03:56.352 [restartedMain] INFO  [com.liaozan.WebApplication:57] restartedMaincid - Started WebApplication in 3.047 seconds (JVM running for 473.853)
2018-01-14 05:03:57.374 [registrationTask1] WARN  [de.codecentric.boot.admin.client.registration.ApplicationRegistrator:94] registrationTask1cid - Failed to register application as Application [name=spring-boot-application, managementUrl=http://Administrator.lan:8092/, healthUrl=http://Administrator.lan:8092/health/, serviceUrl=http://Administrator.lan:8091/] at spring-boot-admin ([http://localhost:8070/api/applications]): I/O error on POST request for "http://localhost:8070/api/applications": Connection refused: connect; nested exception is java.net.ConnectException: Connection refused: connect. Further attempts are logged on DEBUG level
2018-01-14 05:03:58.601 [Thread-33] INFO  [org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext:984] Thread-33cid - Closing org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@6459b17a: startup date [Sun Jan 14 05:03:53 CST 2018]; root of context hierarchy
2018-01-14 05:03:58.601 [Thread-33] INFO  [org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext:984] Thread-33cid - Closing org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@204dba47: startup date [Sun Jan 14 05:03:56 CST 2018]; parent: org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@6459b17a
2018-01-14 05:03:58.653 [Thread-33] INFO  [org.springframework.context.support.DefaultLifecycleProcessor:358] Thread-33cid - Stopping beans in phase 0
2018-01-14 05:03:58.654 [Thread-33] INFO  [org.springframework.boot.actuate.endpoint.jmx.EndpointMBeanExporter:449] Thread-33cid - Unregistering JMX-exposed beans on shutdown
2018-01-14 05:03:58.654 [Thread-33] INFO  [org.springframework.boot.actuate.endpoint.jmx.EndpointMBeanExporter:241] Thread-33cid - Unregistering JMX-exposed beans
2018-01-14 05:03:58.654 [Thread-33] INFO  [org.springframework.jmx.export.annotation.AnnotationMBeanExporter:449] Thread-33cid - Unregistering JMX-exposed beans on shutdown
2018-01-14 05:03:58.654 [Thread-33] INFO  [org.springframework.jmx.export.annotation.AnnotationMBeanExporter:241] Thread-33cid - Unregistering JMX-exposed beans
2018-01-14 05:03:58.654 [Thread-33] INFO  [org.springframework.scheduling.concurrent.ThreadPoolTaskScheduler:202] Thread-33cid - Shutting down ExecutorService 'registrationTaskScheduler'
2018-01-14 05:03:59.202 [restartedMain] INFO  [com.liaozan.WebApplication:48] restartedMaincid - Starting WebApplication on Administrator with PID 7448 (F:\github\houses\web\target\classes started by Administrator in F:\github\houses)
2018-01-14 05:03:59.202 [restartedMain] INFO  [com.liaozan.WebApplication:593] restartedMaincid - No active profile set, falling back to default profiles: default
2018-01-14 05:03:59.203 [restartedMain] INFO  [org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext:583] restartedMaincid - Refreshing org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@342a9a2a: startup date [Sun Jan 14 05:03:59 CST 2018]; root of context hierarchy
2018-01-14 05:03:59.837 [restartedMain] INFO  [org.springframework.boot.context.embedded.tomcat.TomcatEmbeddedServletContainer:89] restartedMaincid - Tomcat initialized with port(s): 8080 (http)
2018-01-14 05:03:59.837 [restartedMain] INFO  [org.apache.catalina.core.StandardService:179] restartedMaincid - Starting service [Tomcat]
2018-01-14 05:03:59.837 [restartedMain] INFO  [org.apache.catalina.core.StandardEngine:179] restartedMaincid - Starting Servlet Engine: Apache Tomcat/8.5.23
2018-01-14 05:03:59.850 [localhost-startStop-1] INFO  [org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/]:179] localhost-startStop-1cid - Initializing Spring embedded WebApplicationContext
